slot_id,competency_id
1,3
2,4
3,2
4,32
5,5
6,6
7,7
8,8
9,21
10,12
11,13
12,9
13,11
14,15
15,10
15,33
15,20
16,23
16,33
16,20
17,18
18,19
19,16
20,17
21,25
21,27
21,35
21,26
22,25
22,27
22,35
22,26
23,14
23,22
23,10
23,23
23,24
23,36
23,33
23,20
23,34
23,25
23,27
23,35
23,26
24,14
24,22
24,10
24,23
24,24
24,36
24,33
24,20
24,34
24,25
24,27
24,35
24,26
25,14
25,22
25,10
25,23
25,24
25,36
25,33
25,20
25,34
25,25
25,27
25,35
25,26
26,14
26,22
26,10
26,23
26,24
26,36
26,33
26,20
26,34
26,25
26,27
26,35
26,26
27,14
27,22
27,10
27,23
27,24
27,36
27,33
27,20
27,34
27,25
27,27
27,35
27,26
28,14
28,22
28,10
28,23
28,24
28,36
28,33
28,20
28,34
28,25
28,27
28,35
28,26
29,28
30,29
31,30
32,31
33,1
